#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	snmp
#open	2018-02-28-14-13-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	duration	version	community	get_requests	get_bulk_requests	get_responses	set_requests	display_string	up_since
#types	time	string	addr	port	addr	port	interval	string	string	count	count	count	count	string	time
1331916802.110000	CHfHBrc14NJUBaMWk	192.168.202.110	52662	192.168.23.101	161	0.000000	2c	public	1	0	0	0	-	-
1331916802.110000	CQRlxo3DtaJw2nBLWh	192.168.202.110	47918	192.168.23.100	161	0.000000	2c	public	1	0	0	0	-	-
1331916802.140000	Cn7NQa2rIpIqLWpeci	192.168.202.110	43273	192.168.23.103	161	0.000000	2c	public	1	0	0	0	-	-
1331916804.110000	CS0kCv1SOn5gNLdQv4	192.168.202.110	47465	192.168.23.100	161	0.000000	1	public	1	0	0	0	-	-
1331916804.120000	CsTrZF2Lc0hMfnI967	192.168.202.110	56393	192.168.23.101	161	0.000000	1	public	1	0	0	0	-	-
1331916804.150000	CACQxvg2RE6BTkprl	192.168.202.110	52586	192.168.23.103	161	0.000000	1	public	1	0	0	0	-	-
1331916835.240000	CFJGeXuKa4Z1kYCAa	192.168.202.110	52979	192.168.23.101	161	4.010000	1	public	3	0	0	0	-	-
1331916843.180000	CoI0Gu1CDd1dAa5Nz4	192.168.202.110	58107	192.168.23.100	161	4.010000	1	public	3	0	0	0	-	-
1331916843.210000	CZCXKW3VwsOw9Zu959	192.168.202.110	46633	192.168.23.103	161	4.000000	1	public	3	0	0	0	-	-
1331917011.550000	Cuc7wI1s7EH1kGqu5	192.168.202.110	51278	192.168.23.103	161	8.060000	2c	private	4	0	0	0	-	-
1331917013.590000	CFYFDscLSj5LIE19i	192.168.202.110	44645	192.168.23.103	161	10.050000	2c	public	4	0	0	0	-	-
1331917015.600000	CyyTZDwBLgTCzqln9	192.168.202.110	48587	192.168.23.103	161	12.090000	2c	cisco	4	0	0	0	-	-
1331917055.690000	CS3IzJ2yi6m8eOF2vg	192.168.202.110	37139	192.168.23.100	161	8.070000	2c	private	4	0	0	0	-	-
1331917057.730000	CrK1eJ3pOOYNOgqpn	192.168.202.110	35884	192.168.23.100	161	10.040000	2c	public	4	0	0	0	-	-
1331917059.750000	Cw6zbw2SAXVB79KFE9	192.168.202.110	49197	192.168.23.100	161	12.030000	2c	cisco	4	0	0	0	-	-
1331917087.580000	CBSWS837CpBObIPNs6	192.168.202.110	38331	192.168.23.101	161	8.040000	2c	private	4	0	0	0	-	-
1331917089.590000	CI9LGo1SJjc1H0u0O4	192.168.202.110	57168	192.168.23.101	161	10.050000	2c	public	4	0	0	0	-	-
1331917091.600000	C2Xk8128XqDFsynvXh	192.168.202.110	53964	192.168.23.101	161	12.030000	2c	cisco	4	0	0	0	-	-
1331917615.000000	CD0U1L1RAvzJKJIK4f	192.168.202.110	40344	192.168.23.25	161	0.000000	2c	public	1	0	0	0	-	-
1331917617.000000	CJerNq4q2E59cwygt8	192.168.202.110	56756	192.168.23.25	161	0.000000	1	public	1	0	0	0	-	-
1331917656.070000	CEklT53Fdhsi0QEYZa	192.168.202.110	52406	192.168.23.25	161	4.000000	1	public	3	0	0	0	-	-
1331917851.000000	CdmD1V1W12a2FfVwZ	192.168.202.110	36042	192.168.23.25	161	8.060000	2c	private	4	0	0	0	-	-
1331917853.010000	CPLWQB9KqiUQPLdg9	192.168.202.110	42936	192.168.23.25	161	10.060000	2c	public	4	0	0	0	-	-
1331917855.050000	C3K2RP356ingsrcaG9	192.168.202.110	42581	192.168.23.25	161	12.030000	2c	cisco	4	0	0	0	-	-
1331918418.790000	CfK01K2gaL1kSq0XNa	192.168.202.110	39936	192.168.229.1	161	0.000000	1	public	1	0	0	0	-	-
1331918418.790000	CASybZ9RnaKaLCuD7	192.168.202.110	55557	192.168.229.1	161	0.000000	2c	public	1	0	0	0	-	-
1331918420.840000	CWc8vo1xPAJQuIgy0l	192.168.202.110	55895	192.168.229.1	161	2.010000	1	public	3	0	0	0	-	-
1331918533.050000	CLCywA3BFxee9ySuYd	192.168.202.110	56748	192.168.229.101	161	0.000000	1	public	1	0	0	0	-	-
1331918533.050000	CRx3a8lRdRSIdF6n	192.168.202.110	53376	192.168.229.101	161	0.000000	2c	public	1	0	0	0	-	-
1331918533.110000	Cq2emV5OOCdAu40V7	192.168.202.110	40533	192.168.229.101	161	0.000000	1	public	3	0	0	0	-	-
1331918609.310000	CTOXzy2AQCA4xX1H6a	192.168.202.110	35027	192.168.229.156	161	0.000000	1	public	1	0	0	0	-	-
1331918609.310000	CdIdxXxf2kwz1Tja9	192.168.202.110	38839	192.168.229.156	161	0.000000	2c	public	1	0	0	0	-	-
1331918609.370000	CGqUHH192nn17Jy2ji	192.168.202.110	51275	192.168.229.156	161	0.000000	1	public	3	0	0	0	-	-
1331918612.400000	C5lw724Bkj7OewwvF7	192.168.202.110	39928	192.168.229.153	161	0.000000	1	public	1	0	0	0	-	-
1331918612.400000	CLaiQH2ic5fEnwuf5e	192.168.202.110	58547	192.168.229.153	161	0.000000	2c	public	1	0	0	0	-	-
1331918626.880000	CihTRi4hozmm00tRcf	192.168.202.110	47168	192.168.229.153	161	2.000000	1	public	3	0	0	0	-	-
1331918624.110000	CFdRaE3umXNZSeLSof	192.168.202.110	41728	192.168.229.101	161	6.630000	2c	private	4	0	0	0	-	-
1331918626.110000	CaMnA336vFWXJs7mw5	192.168.202.110	54356	192.168.229.101	161	4.630000	2c	public	4	0	0	0	-	-
1331918627.150000	CLbDKv2sl2xzYChEKk	192.168.202.110	36905	192.168.229.101	161	5.640000	2c	cisco	4	0	0	0	-	-
1331918687.100000	CFI3S74SZdtoCdYmpb	192.168.202.110	33287	192.168.229.1	161	8.410000	2c	private	4	0	0	0	-	-
1331918688.940000	CtjIkf3yd32d8C2meh	192.168.202.110	53675	192.168.229.1	161	10.700000	2c	public	4	0	0	0	-	-
1331918691.500000	CUMKzE1SowoHiwxXt4	192.168.202.110	38327	192.168.229.1	161	10.150000	2c	cisco	4	0	0	0	-	-
1331918761.840000	CtggJF4RyCGi5F7ZSe	192.168.202.110	46592	192.168.229.251	161	0.000000	2c	public	1	0	0	0	-	-
1331918761.850000	Cd2T5dcmXphH3sUh9	192.168.202.110	56688	192.168.229.251	161	0.000000	1	public	1	0	0	0	-	-
1331918765.130000	CGFKgO2tdAvxjnQVY3	192.168.202.110	37761	192.168.229.252	161	0.000000	2c	public	1	0	0	0	-	-
1331918765.130000	CwzDQB3r2xTbBJXK7j	192.168.202.110	48830	192.168.229.252	161	0.000000	1	public	1	0	0	0	-	-
1331918766.940000	CLBs462qqy72E1r7m1	192.168.202.110	44429	192.168.229.251	161	0.000000	1	public	3	0	0	0	-	-
1331918769.860000	C5AsbX2GHbJKvOkJm8	192.168.202.110	46960	192.168.229.254	161	0.000000	2c	public	1	0	0	0	-	-
1331918771.870000	CTY0ODpWtdwBiFFj6	192.168.202.110	52085	192.168.229.254	161	0.000000	1	public	1	0	0	0	-	-
1331918781.570000	CZPoWSB7IvanX65G9	192.168.202.110	56025	192.168.229.252	161	2.010000	1	public	3	0	0	0	-	-
1331918804.190000	CB5lgC3WUiqOuaiTgf	192.168.202.110	49265	192.168.229.156	161	2.080000	2c	private	4	0	0	0	-	-
1331918803.420000	C2Og9d3jTSqe9w1qd8	192.168.202.110	43475	192.168.229.254	161	4.000000	1	public	3	0	0	0	-	-
1331918804.200000	CUICcXHZPcflOmi2j	192.168.202.110	47363	192.168.229.156	161	3.640000	2c	public	4	0	0	0	-	-
